"Nazwa";"Energia";"Bialko";"Tluszcz";"Weglowodany"
"296";"Mleko zag?szczone s?odzone";"323";"7,5";"8";"55,3"
"297";"Monte, deser czekoladowy";"195";"2,8";"13,3";"15,9"
"298";"Morele?";"52";"0,7";"0,2";"11,9"
"299";"Morele suszone";"308";"4,5";"0";"72"
"300";"Morlinki, par?wki dla dzieci";"223";"12,4";"19,1";"0,4"
"301";"Morszczuk ?wie?y";"89";"17,2";"2,2";"0"
"302";"Morwa";"48";"1,4";"0,4";"9,8"
"303";"Muesli";"370";"9,1";"6,8";"68,1"
"304";"Musztarda";"168";"5,7";"6,4";"22"
"305";"Napoleonka, ciastko";"324";"5";"16";"39,8"
"306";"Nap?j Coca Cola";"42";"0";"0";"10,4"
"307";"Nap?j Coca Cola light";"0,24";"0";"0";"0"
"308";"Nap?j Kubu? Multiwitamina";"48";"0,3";"0,1";"11,5"
"309";"Nap?j Mirinda";"52";"0";"0";"12,9"
"310";"Nap?j Pepsi Cola";"42";"0";"0";"10,4"
"311";"Nap?j Pepsi Cola light";"0,24";"0";"0";"0"
"312";"Nap?j Red Bull";"45";"0";"0";"11,3"
"313";"Nap?j Sprite";"42";"0";"0";"10,5"
"314";"Nektar owocowy";"63";"0,2";"0,4";"14,6"
"315";"Nektarynka";"53";"0,9";"0,2";"11,8"
"316";"Nesquik, kakao, proszek";"380";"3,5";"3";"84,3"
"317";"Nestle Corn Flakes, p?atki kukurydziane";"370";"7,3";"0,8";"83,3"
"318";"Nestle Lion, baton";"491";"7,4";"22,7";"64,1"
"319";"Nogi wieprzowe";"276";"23";"20,4";"0"
"320";"Nutella, krem czekoladowy";"533";"6,5";"31";"57"
"321";"Ocet winny";"20";"0";"0";"5"
"322";"Og?rek";"15";"0,7";"0,1";"2,9"
"323";"Og?rek kiszony";"12";"0,7";"0,2";"1,9"
"324";"Olej kukurydziany";"900";"0";"100";"0"
"325";"Olej lniany";"900";"0";"100";"0"
"326";"Olej rzepakowy";"900";"0";"100";"0"
"327";"Olej s?onecznikowy";"900";"0";"100";"0"
"328";"Olej sojowy";"900";"0";"100";"0"
"329";"Oliwa z oliwek";"897";"0";"99,6";"0,2"
"330";"Oliwki";"147";"1,4";"13,9";"4,1"
"331";"Orzechy arachidowe";"595";"25,7";"46,1";"19,2"
"332";"Orzechy laskowe";"695";"14,4";"65,9";"11"
"333";"Orzechy nerkowca";"638";"17";"54";"24"
"334";"Orzechy pistacjowe";"618";"20,8";"51,6";"17,5"
"335";"Orzechy w?oskie";"679";"16";"60,3";"18"
"336";"Orzeszki ziemne";"634";"26";"53";"13,3"
"337";"Ostrygi";"85";"5";"5";"5"
"338";"Otr?by pszenne";"183";"16";"4,6";"61,9"
"339";"Ozory ciel?ce";"106";"17,1";"4,2";"0"
"340";"Ozory wieprzowe";"166";"16,5";"11,1";"0"
"341";"Paluszki";"384";"9,9";"4,9";"75,2"
"342";"Pani Domu, margaryna";"360";"0";"40";"0"
"343";"Papaja";"43";"0,6";"0,1";"9,8"
"344";"Papryka czerwona";"35";"1,2";"0,3";"6,9"
"345";"Papryka konserwowa";"37";"0,8";"1,5";"5"
"346";"Paprykarz Szczeci?ski";"181";"9,9";"11,9";"8,6"
"347";"Par?wki dla dzieci Morlinki";"223";"12,4";"19,1";"0,4"
"348";"Par?wki popularne";"347";"9,5";"34,3";"0"
"349";"Par?wki z kurczaka";"262";"10,8";"22,4";"4,2"
"350";"Pasternak";"80";"1,2";"0,3";"18"
"351";"Pasztet popularny";"405";"13,2";"38,2";"2"
"352";"Pasztet z drobiu";"270";"9,6";"23,8";"4,4"
"353";"P?czki";"376";"6";"16";"52"
"354";"Pepsi Cola, nap?j";"42";"0";"0";"10,4"
"355";"Pepsi Cola light, nap?j";"0,24";"0";"0";"0"
"356";"Pestki dyni";"596";"29";"46,7";"15"
"357";"P?dy bambusa";"34";"2,6";"0,3";"5,2"
"358";"P?dy bambusa, konserwa, ods?czone";"23";"1,7";"0,4";"3,2"
"359";"Pieczarka suszona";"331";"19,1";"2,1";"49,3"
"360";"Pieczarka ?wie?a";"24";"2,6";"0,4";"2,5"
"361";"Pieczywo chrupkie pszenne Wasa";"360";"12";"2,2";"73"
"362";"Pierogi leniwe mro?one";"157";"7,3";"0,8";"30,2"
"363";"Pierogi ruskie mro?one";"215";"7,2";"3,8";"37,9"
"364";"Pierogi z kapust? i grzybami mro?one";"209";"5";"5,7";"34,5"
"365";"Pierogi z mi?sem mro?one";"255";"10,5";"8,2";"34,8"
"366";"Pierogi z serem mro?one";"198";"10,9";"1";"36,4"
"367";"Pierogi z truskawkami mro?one";"194";"4,3";"0,8";"42,4"
"368";"Piernik czekoladowy";"317";"4,9";"11,8";"74,3"
"369";"Piersi bez sk?ry indycze";"109";"21,3";"2,6";"0"
"370";"Piersi bez sk?ry z kurczaka";"100";"21,5";"1,3";"0"
"371";"Piersi ze sk?r? z kurczaka";"155";"19,3";"8,6";"0"
"372";"Pietruszka korze?";"83";"2,6";"0,5";"17,1"
"373";"Pietruszka li?cie?";"60";"3,7";"1";"9"
